creator	user_input	locale	user_location	type	name	coordinate	distance_tolerance	max_result_index	street	housenumber	zip	city	state	country
richard	Weserstraße 5 12047	de_DE				13.4273057,52.4881848	1	1	Weserstraße	5	12047	Berlin		Deutschland
richard	Weserstraße 5 12047 Berlin	de_DE				13.4273057,52.4881848	1	1	Weserstraße	5	12047	Berlin		Deutschland
richard	12047 Weserstraße 5	de_DE				13.4273057,52.4881848	1	1	Weserstraße	5	12047	Berlin		Deutschland
richard	12047 Berlin Weserstraße 5	de_DE				13.4273057,52.4881848	1	1	Weserstraße	5	12047	Berlin		Deutschland
richard	Neukölln Weserstraße 5	de_DE				13.4273057,52.4881848	1	1	Weserstraße	5	12047	Berlin		Deutschland
richard	Weserstraße 5 Neukölln	de_DE				13.4273057,52.4881848	1	1	Weserstraße	5	12047	Berlin		Deutschland
richard	Weserstraße 5 Berlin Neukölln	de_DE				13.4273057,52.4881848	1	1	Weserstraße	5	12047	Berlin		Deutschland
richard	Weserstraße 5 10247	de_DE				13.4680271,52.5094834	1	1	Weserstraße	5	10247	Berlin		Deutschland
richard	Weserstraße 5 10247 Berlin	de_DE				13.4680271,52.5094834	1	1	Weserstraße	5	10247	Berlin		Deutschland
richard	10247 Weserstraße 5	de_DE				13.4680271,52.5094834	1	1	Weserstraße	5	10247	Berlin		Deutschland
richard	10247 Berlin Weserstraße 5	de_DE				13.4680271,52.5094834	1	1	Weserstraße	5	10247	Berlin		Deutschland
richard	Friedrichshain Weserstraße 5	de_DE				13.4680271,52.5094834	1	1	Weserstraße	5	10247	Berlin		Deutschland
richard	Weserstraße 5 Friedrichshain	de_DE				13.4680271,52.5094834	1	1	Weserstraße	5	10247	Berlin		Deutschland
richard	Weserstraße 5 Berlin Friedrichshain	de_DE				13.4680271,52.5094834	1	1	Weserstraße	5	10247	Berlin		Deutschland
richard	Weserstraße 12047	de_DE				13.4273057,52.4881848	1	1	Weserstraße		12047	Berlin		Deutschland
richard	Weserstraße 12047 Berlin	de_DE				13.4273057,52.4881848	1	1	Weserstraße		12047	Berlin		Deutschland
richard	Weserstraße 10247	de_DE				13.4680271,52.5094834	1	1	Weserstraße		10247	Berlin		Deutschland
richard	Weserstraße 10247 Berlin	de_DE				13.4680271,52.5094834	1	1	Weserstraße		10247	Berlin		Deutschland
