creator	user_input	locale	user_location	type	name	coordinate	distance_tolerance	max_result_index	street	housenumber	zip	city	state	country
richard	Kantstraße 23	de_DE				13.3207552,52.5060536	1	1	Kantstraße	23	10623	Berlin		Deutschland
richard	Kantstraße 23 Berlin	de_DE				13.3207552,52.5060536	1	1	Kantstraße	23	10623	Berlin		Deutschland
richard	Kantstraße 23 Berlin 10623	de_DE				13.3207552,52.5060536	1	1	Kantstraße	23	10623	Berlin		Deutschland
richard	23 Kantstraße Berlin 10623	de_DE				13.3207552,52.5060536	1	1	Kantstraße	23	10623	Berlin		Deutschland
richard	23 Kantstraße 10623 Berlin 	de_DE				13.3207552,52.5060536	1	1	Kantstraße	23	10623	Berlin		Deutschland
richard	Kantstraße 10623 23 Berlin	de_DE				13.3207552,52.5060536	1	1	Kantstraße	23	10623	Berlin		Deutschland
richard	10623 Kantstraße 23 Berlin	de_DE				13.3207552,52.5060536	1	1	Kantstraße	23	10623	Berlin		Deutschland
richard	10623 Berlin Kantstraße 23	de_DE				13.3207552,52.5060536	1	1	Kantstraße	23	10623	Berlin		Deutschland
richard	Berlin 10623 23 Kantstraße	de_DE				13.3207552,52.5060536	1	1	Kantstraße	23	10623	Berlin		Deutschland
richard	Berlin Kantstraße 23	de_DE				13.3207552,52.5060536	1	1	Kantstraße	23	10623	Berlin		Deutschland
richard	Kantstraße	de_DE				13.3207552,52.5060536	1	1	Kantstraße		10623	Berlin		Deutschland
richard	Kantstr	de_DE				13.3207552,52.5060536	1	1	Kantstraße		10623	Berlin		Deutschland
richard	Kantstra	de_DE				13.3207552,52.5060536	1	1	Kantstraße		10623	Berlin		Deutschland
richard	Kantstrass	de_DE				13.3207552,52.5060536	1	1	Kantstraße		10623	Berlin		Deutschland
richard	Kantstrasse 	de_DE				13.3207552,52.5060536	1	1	Kantstraße		10623	Berlin		Deutschland
richard	Kant strasse 	de_DE				13.3207552,52.5060536	1	1	Kantstraße		10623	Berlin		Deutschland
richard	Kant st 	de_DE				13.3207552,52.5060536	1	1	Kantstraße		10623	Berlin		Deutschland
richard	Kant st 	de_DE				13.3207552,52.5060536	1	1	Kantstraße		10623	Berlin		Deutschland
richard	Berlin Kantstraße	de_DE				13.3207552,52.5060536	1	1	Kantstraße		10623	Berlin		Deutschland
richard	Kantstraße 10623 Berlin	de_DE				13.3207552,52.5060536	1	1	Kantstraße		10623	Berlin		Deutschland
richard	Kantstraße, 10623 Berlin	de_DE				13.3207552,52.5060536	1	1	Kantstraße		10623	Berlin		Deutschland
richard	10623 Berlin Kantstraße	de_DE				13.3207552,52.5060536	1	1	Kantstraße		10623	Berlin		Deutschland
richard	10623 Berlin Kant	de_DE				13.3207552,52.5060536	1	1	Kantstraße		10623	Berlin		Deutschland
richard	10623 Kantstraße	de_DE				13.3207552,52.5060536	1	1	Kantstraße		10623	Berlin		Deutschland
#falsche postleitzahl														
richard	10622 Berlin Kantstraße	de_DE				13.3207552,52.5060536	1	1	Kantstraße		10623	Berlin		Deutschland
