creator	user_input	locale	user_location	type	name	coordinate	distance_tolerance	max_result_index	street	housenumber	zip	city	state	country
richard	Friedrich-Wilhelm-Boelcke-Straße 2	de_DE				13.0585818,52.3882924	100	1	Friedrich-Wilhelm-Boelcke-Straße	2	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 2, Potsdam	de_DE				13.0585818,52.3882924	100	1	Friedrich-Wilhelm-Boelcke-Straße	2	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 2a	de_DE				13.0585818,52.3882924	100	1	Friedrich-Wilhelm-Boelcke-Straße	2a	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 3b	de_DE				13.0585818,52.3882925	100	1	Friedrich-Wilhelm-Boelcke-Straße	3b	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 3 b	de_DE				13.0585818,52.3882925	100	1	Friedrich-Wilhelm-Boelcke-Straße	3b	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 3B	de_DE				13.0585818,52.3882925	100	1	Friedrich-Wilhelm-Boelcke-Straße	3b	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 3 B	de_DE				13.0585818,52.3882925	100	1	Friedrich-Wilhelm-Boelcke-Straße	3b	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 2a-d	de_DE				13.0585818,52.3882924	100	1	Friedrich-Wilhelm-Boelcke-Straße	2a-d	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 2 a-d	de_DE				13.0585818,52.3882924	100	1	Friedrich-Wilhelm-Boelcke-Straße	2a-d	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 2d	de_DE				13.0585818,52.3882924	100	1	Friedrich-Wilhelm-Boelcke-Straße	2a-d	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 4	de_DE				13.0585818,52.3882924	100	1	Friedrich-Wilhelm-Boelcke-Straße	4-5A	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 5	de_DE				13.0585818,52.3882924	100	1	Friedrich-Wilhelm-Boelcke-Straße	4-5A	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 5a	de_DE				13.0585818,52.3882924	100	1	Friedrich-Wilhelm-Boelcke-Straße	4-5A	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 7	de_DE				13.0585818,52.3882924	100	1	Friedrich-Wilhelm-Boelcke-Straße	7a-7d	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 7a	de_DE				13.0585818,52.3882924	100	1	Friedrich-Wilhelm-Boelcke-Straße	7a-7d	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 7d	de_DE				13.0585818,52.3882924	100	1	Friedrich-Wilhelm-Boelcke-Straße	7a-7d	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 8	de_DE				13.0585818,52.38829245	100	1	Friedrich-Wilhelm-Boelcke-Straße	8a-10d	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 8a	de_DE				13.0585818,52.38829245	100	1	Friedrich-Wilhelm-Boelcke-Straße	8a-10d	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 10	de_DE				13.0585818,52.38829245	100	1	Friedrich-Wilhelm-Boelcke-Straße	8a-10d	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 10d	de_DE				13.0585818,52.38829245	100	1	Friedrich-Wilhelm-Boelcke-Straße	8a-10d	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 11	de_DE				13.0585818,52.38829245	100	1	Friedrich-Wilhelm-Boelcke-Straße	11, 12, 13	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 12	de_DE				13.0585818,52.38829245	100	1	Friedrich-Wilhelm-Boelcke-Straße	11, 12, 13	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 13	de_DE				13.0585818,52.38829245	100	1	Friedrich-Wilhelm-Boelcke-Straße	11, 12, 13	14473	Potsdam		Deutschland
richard	Friedrich-Wilhelm-Boelcke-Straße 234	de_DE				13.0585819,52.3882927	100	1	Friedrich-Wilhelm-Boelcke-Straße	234	14473	Potsdam		Deutschland
