creator	user_input	locale	user_location	type	name	coordinate	distance_tolerance	max_result_index	street	housenumber	zip	city	state	country
richard	Berliner Straße 56	de_DE				13.272682,52.438733	1	1	Berliner Straße	56	14169	Berlin		Deutschland
richard	Hamburger Platz 4	de_DE				13.438936,52.555585	1	1	Hamburger Platz	4	13086	Berlin		Deutschland
richard	Berliner Tor 33	de_DE				10.02351,53.554669	1	1	Berliner Tor	33	20099	Hamburg		Deutschland
richard	Hamburger Straße 47	de_DE				10.034427,53.574566	1	1	Hamburger Straße	47	22083	Hamburg		Deutschland
richard	Berliner Straße	de_DE				13.272682,52.438733	1	1	Berliner Straße		14169	Berlin		Deutschland
richard	Hamburger Platz	de_DE				13.438936,52.555585	1	1	Hamburger Platz		13086	Berlin		Deutschland
richard	Berliner Tor	de_DE				10.02351,53.554669	1	1	Berliner Tor		20099	Hamburg		Deutschland
richard	Hamburger Straße	de_DE				10.034427,53.574566	1	1	Hamburger Straße		22083	Hamburg		Deutschland
richard	Hamburger Straße Hamburg	de_DE				10.034427,53.574566	1	1	Hamburger Straße		22083	Hamburg		Deutschland
richard	Berliner Straße Berlin	de_DE				13.272682,52.438733	1	1	Berliner Straße		14169	Berlin		Deutschland
richard	Hamburger Platz Berlin	de_DE				13.438936,52.555585	1	1	Hamburger Platz		13086	Berlin		Deutschland
richard	Berliner Tor Hamburg	de_DE				10.02351,53.554669	1	1	Berliner Tor		20099	Hamburg		Deutschland
richard	Berliner Tor 20099	de_DE				10.02351,53.554669	1	1	Berliner Tor		20099	Hamburg		Deutschland
richard	Hamburger Platz 13086	de_DE				13.438936,52.555585	1	1	Hamburger Platz		13086	Berlin		Deutschland
richard	Berlin Tor Hamburg	de_DE				10.02351,53.554669	1	1	Berliner Tor		20099	Hamburg		Deutschland
richard	Hamburg Platz Berlin	de_DE				13.438936,52.555585	1	1	Hamburger Platz		13086	Berlin		Deutschland
